inclusion nb ; x ; y ; z
1 ; 0.0331866 ; 0.0268341 ; 0.0754619
2 ; 0.0289334 ; 0.0556351 ; 0.0995117
2 ; 0.0955775 ; 0.0560922 ; 0.00289379
2 ; 0.0185727 ; 0.0557785 ; 0.00201709
3 ; 0.0230672 ; 0.0778331 ; 0.0536983
3 ; 0.0988459 ; 0.0767031 ; 0.0533371
4 ; 0.0380153 ; 0.0746449 ; 0.0985624
4 ; 0.0567189 ; 0.0756541 ; 0.0133229
5 ; 0.0435807 ; 0.0588035 ; 0.0396048
6 ; 0.0960887 ; 0.00379849 ; 0.087706
6 ; 0.0197598 ; 0.00489553 ; 0.0925554
7 ; 0.0988908 ; 0.0991953 ; 0.0997991
7 ; 0.000424512 ; 0.099613 ; 0.0998013
7 ; 0.0993541 ; 0.00209587 ; 0.0996086
7 ; 0.0957822 ; 0.0942227 ; 0.00346758
7 ; 0.0099657 ; 0.0178807 ; 0.0967549
7 ; 0.000637623 ; 0.0989254 ; 0.0020053
7 ; 0.0988459 ; 0.00178304 ; 0.00184731
7 ; 0.00303775 ; 0.00590799 ; 0.0012377
8 ; 0.00551078 ; 0.0999148 ; 0.0716282
8 ; 0.00361463 ; 0.00269894 ; 0.0720145
8 ; 0.0802894 ; 0.00745644 ; 0.0762292
9 ; 0.0639598 ; 0.0381661 ; 0.0757481
10 ; 0.0929428 ; 0.098977 ; 0.0369273
10 ; 0.00860959 ; 0.0977137 ; 0.0381031
10 ; 0.0816214 ; 0.0021212 ; 0.0360527
10 ; 0.00327529 ; 0.000474787 ; 0.0376826
11 ; 0.0740599 ; 0.0871985 ; 0.0198392
11 ; 0.085005 ; 0.0953356 ; 0.0997766
12 ; 0.0419202 ; 0.0933919 ; 0.00831868
13 ; 0.00466877 ; 0.043058 ; 0.050445
13 ; 0.0813534 ; 0.0419662 ; 0.044125
14 ; 0.0739881 ; 0.0708565 ; 0.097713
14 ; 0.00183991 ; 0.0829164 ; 0.0272823
14 ; 0.0878372 ; 0.0769831 ; 0.0129719
15 ; 0.0939912 ; 0.0117263 ; 0.0172939
15 ; 0.0175649 ; 0.0158918 ; 0.0207082
16 ; 0.0526329 ; 0.00224486 ; 0.060013
16 ; 0.0637954 ; 0.0808222 ; 0.0598725
17 ; 0.0489589 ; 0.0371269 ; 0.0560901
18 ; 0.0093869 ; 0.0475793 ; 0.0948765
18 ; 0.0866119 ; 0.0554942 ; 0.0931487
19 ; 0.0619688 ; 0.0671246 ; 0.0982517
19 ; 0.000599186 ; 0.0583205 ; 0.0172719
19 ; 0.0820546 ; 0.0623644 ; 0.00885853
20 ; 0.0925766 ; 0.0953531 ; 0.0282975
20 ; 0.0162365 ; 0.0964537 ; 0.0331626
21 ; 0.0542151 ; 0.000973569 ; 0.0729198
21 ; 0.0570282 ; 0.0988474 ; 0.0727837
22 ; 0.0778526 ; 0.068692 ; 0.0719849
22 ; 0.000832116 ; 0.0639071 ; 0.0780011
23 ; 0.0319705 ; 0.010554 ; 0.089438
24 ; 0.0791379 ; 0.0289197 ; 0.0450005
24 ; 0.00226442 ; 0.0254873 ; 0.0512094
25 ; 0.0850856 ; 0.0713312 ; 0.043339
25 ; 0.00463236 ; 0.0593261 ; 0.0508544
26 ; 0.0255269 ; 0.000357692 ; 0.0900681
26 ; 0.0462368 ; 0.0954843 ; 0.0863491
27 ; 0.0158703 ; 0.0890552 ; 0.0538552
27 ; 0.0936712 ; 0.0864691 ; 0.0446532
28 ; 0.0324919 ; 0.0991013 ; 0.0169154
28 ; 0.0979842 ; 0.00299581 ; 0.0164523
28 ; 0.0186833 ; 0.00183544 ; 0.0167273
29 ; 0.0217835 ; 0.00135396 ; 0.0988995
29 ; 0.0986183 ; 0.077857 ; 0.0815099
29 ; 0.0104217 ; 0.0889464 ; 0.0905276
29 ; 0.0246285 ; 0.00350489 ; 0.00251003
29 ; 0.0213095 ; 0.0990164 ; 0.000799484
30 ; 0.0038182 ; 0.0857537 ; 0.000438266
30 ; 0.0844884 ; 0.0884616 ; 0.00144481
30 ; 0.0112787 ; 0.0846746 ; 0.0975795
30 ; 0.0910462 ; 0.0875164 ; 0.0989312
31 ; 0.0959305 ; 0.0612647 ; 0.0278721
31 ; 0.0198578 ; 0.0623953 ; 0.0312404
32 ; 0.021478 ; 0.0486137 ; 0.00545665
32 ; 0.0982623 ; 0.054872 ; 0.00818648
33 ; 0.0105415 ; 0.0318218 ; 0.0515148
33 ; 0.0863653 ; 0.0321753 ; 0.0511665
34 ; 0.0863603 ; 0.0301348 ; 0.00570375
34 ; 0.00592556 ; 0.0324097 ; 0.0136601
34 ; 0.0711604 ; 0.0283433 ; 0.0985329
35 ; 0.095356 ; 0.0700065 ; 0.0587687
35 ; 0.0192806 ; 0.071138 ; 0.0621398
36 ; 0.0151923 ; 0.099147 ; 0.0849504
36 ; 0.0077652 ; 0.00746939 ; 0.0815771
36 ; 0.0915217 ; 0.022533 ; 0.0743862
37 ; 0.0922847 ; 0.0975644 ; 0.0589165
37 ; 0.0156427 ; 0.0958331 ; 0.0532752
37 ; 0.0876588 ; 0.000177295 ; 0.0600658
38 ; 0.0394952 ; 0.056952 ; 0.0269433
39 ; 0.0565412 ; 0.0026078 ; 0.00368841
39 ; 0.0750444 ; 0.0999333 ; 0.00395646
40 ; 0.0376074 ; 0.0692114 ; 0.0271535
41 ; 1.47571e-05 ; 0.0245886 ; 0.00937208
41 ; 0.0756991 ; 0.0234021 ; 0.0146306
42 ; 0.0451066 ; 0.0426311 ; 0.0289724
43 ; 0.0552356 ; 0.0385521 ; 0.00123065
43 ; 0.0639549 ; 0.0407083 ; 0.098919
44 ; 0.0381612 ; 0.0766701 ; 0.0777032
45 ; 0.0380085 ; 0.0992527 ; 0.0540202
45 ; 0.0200649 ; 0.00335595 ; 0.0560844
45 ; 0.097974 ; 0.0062762 ; 0.0585701
46 ; 0.052676 ; 0.000487707 ; 0.0922729
46 ; 0.0706883 ; 0.0850213 ; 0.090909
47 ; 0.0470417 ; 0.0499376 ; 0.0249926
48 ; 0.000408401 ; 0.00737253 ; 0.0483439
48 ; 0.0761041 ; 0.00621811 ; 0.0508435
49 ; 0.0851131 ; 0.0488573 ; 0.00753467
49 ; 0.0084485 ; 0.0425386 ; 0.00778402
50 ; 0.00260147 ; 0.0711478 ; 0.077224
50 ; 0.0795357 ; 0.0728891 ; 0.0842895
51 ; 0.0824289 ; 0.067049 ; 0.0354535
51 ; 0.00646773 ; 0.0651401 ; 0.0372853
52 ; 0.0990309 ; 0.0934565 ; 0.0175936
52 ; 0.0212507 ; 0.0844277 ; 0.0206957
53 ; 0.0230077 ; 0.0134903 ; 0.00886642
53 ; 0.0989614 ; 0.0152752 ; 0.0114846
54 ; 0.0758502 ; 0.0267946 ; 0.0918383
55 ; 0.0766895 ; 0.000747689 ; 0.0434922
55 ; 0.0875446 ; 0.0969451 ; 0.0436201
55 ; 0.0100247 ; 0.0925153 ; 0.0438818
56 ; 0.0583291 ; 0.0622366 ; 0.0154822
57 ; 0.0934637 ; 0.0573311 ; 0.0516565
57 ; 0.0134997 ; 0.0483561 ; 0.0415967
58 ; 0.0331742 ; 0.0795201 ; 0.0437785
59 ; 0.0991332 ; 0.0386229 ; 0.0624209
59 ; 0.0230658 ; 0.0426379 ; 0.0628152
60 ; 0.0893165 ; 0.0132191 ; 0.0694888
60 ; 0.0128503 ; 0.0158295 ; 0.0743775
61 ; 0.052991 ; 0.00811362 ; 0.00161848
61 ; 0.0745669 ; 0.00938765 ; 0.0927628
62 ; 0.0467676 ; 0.0273481 ; 0.034873
63 ; 0.0060557 ; 0.00124765 ; 0.0625645
63 ; 0.0888922 ; 0.00386001 ; 0.0623664
63 ; 0.0156644 ; 0.0979328 ; 0.0626792
63 ; 0.0986096 ; 0.0997135 ; 0.0624844
64 ; 0.0915632 ; 0.0286302 ; 0.0227136
64 ; 0.01538 ; 0.0327867 ; 0.0231218
65 ; 0.0489902 ; 0.0315624 ; 0.0850914
66 ; 0.00575778 ; 0.0197604 ; 0.00411065
66 ; 0.0816016 ; 0.0200907 ; 0.00527077
67 ; 0.0253509 ; 0.0588356 ; 0.0806843
68 ; 0.0807326 ; 0.0912345 ; 0.0287291
69 ; 0.00331999 ; 0.00168022 ; 0.0246126
69 ; 0.0841459 ; 0.010592 ; 0.0298803
69 ; 0.00696711 ; 0.0984729 ; 0.0235074
69 ; 0.0998905 ; 0.0999447 ; 0.025182
70 ; 0.0329898 ; 0.0508613 ; 0.0554576
71 ; 0.0205592 ; 0.0265403 ; 0.0556028
71 ; 0.098473 ; 0.0252164 ; 0.0653346
72 ; 0.0258846 ; 0.0495934 ; 0.0789631
73 ; 0.0758813 ; 0.0389975 ; 0.0497737
73 ; 0.000261648 ; 0.038627 ; 0.0529301
74 ; 0.0512714 ; 0.0195421 ; 0.00358091
75 ; 0.0829369 ; 0.0487322 ; 0.0559137
75 ; 0.00681139 ; 0.0468123 ; 0.059246
