inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
1  ;  0 ; 80.0311 ; 179.318 ; -0.173102 ; -0.0119019 ; -0.984832 ; 0.00206039 ; -0.999929 ; 0.0117222 ; -0.984902 ; 0 ; 0.173114
2  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
2  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
2  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
3  ;  0 ; 89.1189 ; 2.75787 ; 0.0153599 ; -0.0481154 ; 0.998724 ; 0.000739907 ; 0.998842 ; 0.0481097 ; -0.999882 ; 0 ; 0.0153778
3  ;  0 ; 89.1189 ; 2.75787 ; 0.0153599 ; -0.0481154 ; 0.998724 ; 0.000739907 ; 0.998842 ; 0.0481097 ; -0.999882 ; 0 ; 0.0153778
4  ;  0 ; 53.1105 ; 3.08874 ; 0.599402 ; -0.0538826 ; 0.798632 ; 0.0323443 ; 0.998547 ; 0.043095 ; -0.799794 ; 0 ; 0.600274
4  ;  0 ; 53.1105 ; 3.08874 ; 0.599402 ; -0.0538826 ; 0.798632 ; 0.0323443 ; 0.998547 ; 0.043095 ; -0.799794 ; 0 ; 0.600274
5  ;  0 ; 89.1189 ; 2.75787 ; 0.0153599 ; -0.0481154 ; 0.998724 ; 0.000739907 ; 0.998842 ; 0.0481097 ; -0.999882 ; 0 ; 0.0153778
6  ;  0 ; 78.3189 ; 2.68071 ; 0.202243 ; -0.0467702 ; 0.978218 ; 0.00946928 ; 0.998906 ; 0.0458015 ; -0.97929 ; 0 ; 0.202464
6  ;  0 ; 78.3189 ; 2.68071 ; 0.202243 ; -0.0467702 ; 0.978218 ; 0.00946928 ; 0.998906 ; 0.0458015 ; -0.97929 ; 0 ; 0.202464
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
7  ;  0 ; 103.256 ; 59.0908 ; -0.117784 ; -0.857983 ; 0.499992 ; -0.196731 ; 0.513678 ; 0.835124 ; -0.973357 ; 0 ; -0.229295
8  ;  0 ; 79.8552 ; 168.325 ; -0.172493 ; -0.202352 ; -0.964002 ; 0.0356416 ; -0.979313 ; 0.199189 ; -0.984366 ; 0 ; 0.176136
8  ;  0 ; 79.8552 ; 168.325 ; -0.172493 ; -0.202352 ; -0.964002 ; 0.0356416 ; -0.979313 ; 0.199189 ; -0.984366 ; 0 ; 0.176136
8  ;  0 ; 79.8552 ; 168.325 ; -0.172493 ; -0.202352 ; -0.964002 ; 0.0356416 ; -0.979313 ; 0.199189 ; -0.984366 ; 0 ; 0.176136
9  ;  0 ; 72.774 ; 175.618 ; -0.295275 ; -0.0764076 ; -0.952352 ; 0.0226274 ; -0.997077 ; 0.0729803 ; -0.955144 ; 0 ; 0.296141
10  ;  0 ; 94.3149 ; 171.752 ; 0.0744595 ; -0.143461 ; -0.986851 ; -0.0107937 ; -0.989656 ; 0.143054 ; -0.997166 ; 0 ; -0.0752378
10  ;  0 ; 94.3149 ; 171.752 ; 0.0744595 ; -0.143461 ; -0.986851 ; -0.0107937 ; -0.989656 ; 0.143054 ; -0.997166 ; 0 ; -0.0752378
10  ;  0 ; 94.3149 ; 171.752 ; 0.0744595 ; -0.143461 ; -0.986851 ; -0.0107937 ; -0.989656 ; 0.143054 ; -0.997166 ; 0 ; -0.0752378
10  ;  0 ; 94.3149 ; 171.752 ; 0.0744595 ; -0.143461 ; -0.986851 ; -0.0107937 ; -0.989656 ; 0.143054 ; -0.997166 ; 0 ; -0.0752378
11  ;  0 ; 142.829 ; 36.6288 ; -0.639478 ; -0.596628 ; 0.484874 ; -0.475417 ; 0.802518 ; 0.360477 ; -0.604191 ; 0 ; -0.79684
11  ;  0 ; 142.829 ; 36.6288 ; -0.639478 ; -0.596628 ; 0.484874 ; -0.475417 ; 0.802518 ; 0.360477 ; -0.604191 ; 0 ; -0.79684
12  ;  0 ; 85.5182 ; 2.78176 ; 0.0780501 ; -0.0485318 ; 0.995767 ; 0.00379238 ; 0.998822 ; 0.0483834 ; -0.996942 ; 0 ; 0.0781422
13  ;  0 ; 74.7182 ; 2.70523 ; 0.263273 ; -0.0471976 ; 0.963566 ; 0.0124397 ; 0.998886 ; 0.0455287 ; -0.964641 ; 0 ; 0.263566
13  ;  0 ; 74.7182 ; 2.70523 ; 0.263273 ; -0.0471976 ; 0.963566 ; 0.0124397 ; 0.998886 ; 0.0455287 ; -0.964641 ; 0 ; 0.263566
14  ;  0 ; 45.6934 ; 23.7653 ; 0.639268 ; -0.402992 ; 0.654931 ; 0.281489 ; 0.915204 ; 0.288386 ; -0.715612 ; 0 ; 0.698498
14  ;  0 ; 45.6934 ; 23.7653 ; 0.639268 ; -0.402992 ; 0.654931 ; 0.281489 ; 0.915204 ; 0.288386 ; -0.715612 ; 0 ; 0.698498
14  ;  0 ; 45.6934 ; 23.7653 ; 0.639268 ; -0.402992 ; 0.654931 ; 0.281489 ; 0.915204 ; 0.288386 ; -0.715612 ; 0 ; 0.698498
15  ;  0 ; 81.8249 ; 10.0941 ; 0.139997 ; -0.175265 ; 0.974517 ; 0.0249223 ; 0.984521 ; 0.173484 ; -0.989838 ; 0 ; 0.142198
