clocks per second = 1000
inclusionNb ; volumeFraction ; clocks
1 ; 0.1 ; 32
2 ; 0.1 ; 35
2 ; 0.1 ; 37
2 ; 0.1 ; 38
3 ; 0.1 ; 41
3 ; 0.1 ; 43
4 ; 0.1 ; 45
4 ; 0.1 ; 46
5 ; 0.1 ; 48
6 ; 0.1 ; 49
6 ; 0.1 ; 50
7 ; 0.1 ; 57
7 ; 0.1 ; 57
7 ; 0.1 ; 58
7 ; 0.1 ; 59
7 ; 0.1 ; 61
7 ; 0.1 ; 62
7 ; 0.1 ; 63
7 ; 0.1 ; 64
8 ; 0.1 ; 68
8 ; 0.1 ; 69
8 ; 0.1 ; 70
9 ; 0.1 ; 72
10 ; 0.1 ; 75
10 ; 0.1 ; 76
10 ; 0.1 ; 78
10 ; 0.1 ; 79
11 ; 0.1 ; 82
11 ; 0.1 ; 83
12 ; 0.1 ; 84
13 ; 0.1 ; 85
13 ; 0.1 ; 86
14 ; 0.1 ; 88
14 ; 0.1 ; 89
14 ; 0.1 ; 90
15 ; 0.1 ; 94
15 ; 0.1 ; 95
16 ; 0.1 ; 97
16 ; 0.1 ; 98
17 ; 0.1 ; 99
18 ; 0.1 ; 100
18 ; 0.1 ; 101
19 ; 0.1 ; 104
19 ; 0.1 ; 106
19 ; 0.1 ; 106
20 ; 0.1 ; 109
20 ; 0.1 ; 110
21 ; 0.1 ; 114
21 ; 0.1 ; 115
22 ; 0.1 ; 118
22 ; 0.1 ; 119
23 ; 0.1 ; 120
24 ; 0.1 ; 122
24 ; 0.1 ; 123
25 ; 0.1 ; 125
25 ; 0.1 ; 126
26 ; 0.1 ; 128
26 ; 0.1 ; 129
27 ; 0.1 ; 132
27 ; 0.1 ; 133
28 ; 0.1 ; 136
28 ; 0.1 ; 138
28 ; 0.1 ; 139
29 ; 0.1 ; 146
29 ; 0.1 ; 147
29 ; 0.1 ; 148
29 ; 0.1 ; 151
29 ; 0.1 ; 152
30 ; 0.1 ; 157
30 ; 0.1 ; 158
30 ; 0.1 ; 159
30 ; 0.1 ; 160
31 ; 0.1 ; 163
31 ; 0.1 ; 164
32 ; 0.1 ; 166
32 ; 0.1 ; 167
33 ; 0.1 ; 169
33 ; 0.1 ; 170
34 ; 0.1 ; 173
34 ; 0.1 ; 175
34 ; 0.1 ; 176
35 ; 0.1 ; 178
35 ; 0.1 ; 179
36 ; 0.1 ; 182
36 ; 0.1 ; 183
36 ; 0.1 ; 185
37 ; 0.1 ; 189
37 ; 0.1 ; 191
37 ; 0.1 ; 192
38 ; 0.1 ; 193
39 ; 0.1 ; 195
39 ; 0.1 ; 196
40 ; 0.1 ; 198
41 ; 0.1 ; 199
41 ; 0.1 ; 199
42 ; 0.1 ; 200
43 ; 0.1 ; 202
43 ; 0.1 ; 203
44 ; 0.1 ; 204
45 ; 0.1 ; 207
45 ; 0.1 ; 208
45 ; 0.1 ; 211
46 ; 0.1 ; 214
46 ; 0.1 ; 214
47 ; 0.1 ; 216
48 ; 0.1 ; 217
48 ; 0.1 ; 217
49 ; 0.1 ; 219
49 ; 0.1 ; 220
50 ; 0.1 ; 222
50 ; 0.1 ; 223
51 ; 0.1 ; 225
51 ; 0.1 ; 226
52 ; 0.1 ; 229
52 ; 0.1 ; 229
53 ; 0.1 ; 232
53 ; 0.1 ; 232
54 ; 0.1 ; 234
55 ; 0.1 ; 236
55 ; 0.1 ; 237
55 ; 0.1 ; 240
56 ; 0.1 ; 242
57 ; 0.1 ; 243
57 ; 0.1 ; 244
58 ; 0.1 ; 246
59 ; 0.1 ; 248
59 ; 0.1 ; 248
60 ; 0.1 ; 251
60 ; 0.1 ; 252
61 ; 0.1 ; 255
61 ; 0.1 ; 256
62 ; 0.1 ; 258
63 ; 0.1 ; 261
63 ; 0.1 ; 263
63 ; 0.1 ; 264
63 ; 0.1 ; 266
64 ; 0.1 ; 268
64 ; 0.1 ; 269
65 ; 0.1 ; 271
66 ; 0.1 ; 273
66 ; 0.1 ; 274
67 ; 0.1 ; 276
68 ; 0.1 ; 277
69 ; 0.1 ; 280
69 ; 0.1 ; 282
69 ; 0.1 ; 282
69 ; 0.1 ; 284
70 ; 0.1 ; 285
71 ; 0.1 ; 287
71 ; 0.1 ; 288
72 ; 0.1 ; 290
73 ; 0.1 ; 291
73 ; 0.1 ; 292
74 ; 0.1 ; 293
75 ; 0.1 ; 294
75 ; 0.1 ; 295
76 ; 0.1 ; 297
77 ; 0.1 ; 300
77 ; 0.1 ; 302
77 ; 0.1 ; 303
77 ; 0.1 ; 304
78 ; 0.1 ; 307
78 ; 0.1 ; 308
79 ; 0.1 ; 310
79 ; 0.1 ; 311
80 ; 0.1 ; 313
80 ; 0.1 ; 314
81 ; 0.1 ; 316
82 ; 0.1 ; 317
82 ; 0.1 ; 318
83 ; 0.1 ; 320
83 ; 0.1 ; 321
84 ; 0.1 ; 325
84 ; 0.1 ; 326
84 ; 0.1 ; 329
85 ; 0.1 ; 330
86 ; 0.1 ; 331
86 ; 0.1 ; 332
87 ; 0.1 ; 334
88 ; 0.1 ; 335
88 ; 0.1 ; 336
89 ; 0.1 ; 341
