inclusion nb ; x ; y ; z
1 ; 0.0331866 ; 0.0268341 ; 0.0754619
2 ; 0.0153309 ; 0.0558225 ; 0.101947
2 ; 0.115331 ; 0.0558225 ; 0.00194664
2 ; 0.0153309 ; 0.0558225 ; 0.00194664
3 ; 0.021991 ; 0.0777829 ; 0.0536822
3 ; 0.121991 ; 0.0777829 ; 0.0536822
4 ; 0.0551621 ; 0.0755701 ; 0.112094
4 ; 0.0551621 ; 0.0755701 ; 0.0120943
5 ; 0.0435807 ; 0.0588035 ; 0.0396048
6 ; 0.115869 ; 0.00471522 ; 0.0917584
6 ; 0.0158692 ; 0.00471522 ; 0.0917584
7 ; 0.104753 ; 0.109191 ; 0.099372
7 ; 0.00475304 ; 0.109191 ; 0.099372
7 ; 0.104753 ; 0.009191 ; 0.099372
7 ; 0.104753 ; 0.109191 ; -0.000627963
7 ; 0.00475304 ; 0.009191 ; 0.099372
7 ; 0.00475304 ; 0.109191 ; -0.000627963
7 ; 0.104753 ; 0.009191 ; -0.000627963
7 ; 0.00475304 ; 0.009191 ; -0.000627963
8 ; -0.0161135 ; 0.106721 ; 0.0755792
8 ; -0.0161135 ; 0.00672138 ; 0.0755792
8 ; 0.0838865 ; 0.00672138 ; 0.0755792
9 ; 0.0639598 ; 0.0381661 ; 0.0757481
10 ; 0.0924972 ; 0.100194 ; 0.0368808
10 ; -0.00750283 ; 0.100194 ; 0.0368808
10 ; 0.0924972 ; 0.000193851 ; 0.0368808
10 ; -0.00750283 ; 0.000193851 ; 0.0368808
11 ; 0.0740954 ; 0.0872248 ; 0.0197743
11 ; 0.0740954 ; 0.0872248 ; 0.119774
12 ; 0.0419202 ; 0.0933919 ; 0.00831868
13 ; -0.0139954 ; 0.042184 ; 0.0453858
13 ; 0.0860046 ; 0.042184 ; 0.0453858
14 ; 0.0875435 ; 0.0768253 ; 0.112529
14 ; -0.0124565 ; 0.0768253 ; 0.0125292
14 ; 0.0875435 ; 0.0768253 ; 0.0125292
15 ; 0.111567 ; 0.014832 ; 0.0198395
15 ; 0.0115673 ; 0.014832 ; 0.0198395
16 ; 0.0626584 ; -0.0169956 ; 0.0598868
16 ; 0.0626584 ; 0.0830044 ; 0.0598868
17 ; 0.0489589 ; 0.0371269 ; 0.0560901
18 ; -0.00400508 ; 0.0522334 ; 0.0938605
18 ; 0.0959949 ; 0.0522334 ; 0.0938605
19 ; 0.0794702 ; 0.0629833 ; 0.107469
19 ; -0.0205298 ; 0.0629833 ; 0.00746882
19 ; 0.0794702 ; 0.0629833 ; 0.00746882
20 ; 0.10882 ; 0.0961087 ; 0.0316377
20 ; 0.00882038 ; 0.0961087 ; 0.0316377
21 ; 0.0557637 ; -0.000196871 ; 0.0728448
21 ; 0.0557637 ; 0.0998031 ; 0.0728448
22 ; 0.0785307 ; 0.0685508 ; 0.0721624
22 ; -0.0214693 ; 0.0685508 ; 0.0721624
23 ; 0.0319705 ; 0.010554 ; 0.089438
24 ; 0.0813564 ; 0.0285905 ; 0.0455961
24 ; -0.0186436 ; 0.0285905 ; 0.0455961
25 ; 0.0896889 ; 0.068504 ; 0.0451089
25 ; -0.0103111 ; 0.068504 ; 0.0451089
26 ; 0.0458713 ; -0.00442964 ; 0.0864147
26 ; 0.0458713 ; 0.0955704 ; 0.0864147
27 ; 0.00955442 ; 0.0883195 ; 0.0512371
27 ; 0.109554 ; 0.0883195 ; 0.0512371
28 ; 0.0201502 ; 0.101305 ; 0.0167478
28 ; 0.12015 ; 0.00130463 ; 0.0167478
28 ; 0.0201502 ; 0.00130463 ; 0.0167478
29 ; 0.0124615 ; -0.00887588 ; 0.0922938
29 ; 0.112461 ; 0.0911241 ; 0.0922938
29 ; 0.0124615 ; 0.0911241 ; 0.0922938
29 ; 0.0124615 ; -0.00887588 ; -0.00770623
29 ; 0.0124615 ; 0.0911241 ; -0.00770623
30 ; -0.00217943 ; 0.0865739 ; -0.000757221
30 ; 0.0978206 ; 0.0865739 ; -0.000757221
30 ; -0.00217943 ; 0.0865739 ; 0.0992428
30 ; 0.0978206 ; 0.0865739 ; 0.0992428
31 ; 0.115807 ; 0.0622038 ; 0.0306701
31 ; 0.0158068 ; 0.0622038 ; 0.0306701
32 ; 0.019802 ; 0.0490655 ; 0.00565372
32 ; 0.119802 ; 0.0490655 ; 0.00565372
33 ; -0.00309509 ; 0.0320212 ; 0.0513183
33 ; 0.0969049 ; 0.0320212 ; 0.0513183
34 ; 0.0896362 ; 0.0305126 ; 0.00691005
34 ; -0.0103638 ; 0.0305126 ; 0.00691005
34 ; 0.0896362 ; 0.0305126 ; 0.10691
