inclusion nb ; volume ; surface
1 ; 9.49023e-07 ; 0.000785398
2 ; 8.72148e-08 ; 0.000272399
2 ; 1.73092e-07 ; 0.000171227
2 ; 6.88538e-07 ; 0.000630608
3 ; 9.06769e-07 ; 0.000758226
3 ; 4.21586e-08 ; 6.64693e-05
4 ; 7.90008e-08 ; 0.000108848
4 ; 8.70139e-07 ; 0.000741077
5 ; 9.49023e-07 ; 0.000785398
6 ; 1.55963e-07 ; 0.000157933
6 ; 7.92963e-07 ; 0.000667583
7 ; 1.59288e-09 ; 1.34978e-05
7 ; 3.45625e-10 ; 3.90362e-06
7 ; 5.15093e-09 ; 2.57058e-05
7 ; 2.44861e-07 ; 0.000228174
7 ; 5.21144e-07 ; 0.000494632
7 ; 1.16136e-08 ; 3.80414e-05
7 ; 3.62478e-08 ; 7.39627e-05
7 ; 1.28011e-07 ; 0.000204338
8 ; 5.48865e-10 ; 8.98008e-06
8 ; 1.4574e-07 ; 0.000150287
8 ; 8.02638e-07 ; 0.000675618
9 ; 9.49023e-07 ; 0.000785398
10 ; 1.48573e-07 ; 0.000256195
10 ; 2.99283e-07 ; 0.000281141
10 ; 4.75182e-07 ; 0.000473613
10 ; 2.59204e-08 ; 8.8778e-05
11 ; 9.45964e-07 ; 0.000784054
11 ; 3.07048e-09 ; 1.92182e-05
12 ; 9.49023e-07 ; 0.000785398
13 ; 1.89303e-07 ; 0.000184914
13 ; 7.59606e-07 ; 0.000641193
14 ; 1.22281e-07 ; 0.00013915
14 ; 1.01079e-07 ; 0.000123958
14 ; 7.25941e-07 ; 0.000638738
15 ; 2.41419e-07 ; 0.00022638
15 ; 7.07505e-07 ; 0.000599286
16 ; 9.66623e-08 ; 0.00011265
16 ; 8.51975e-07 ; 0.000716925
17 ; 9.49023e-07 ; 0.000785398
18 ; 3.90939e-07 ; 0.000346712
18 ; 5.57985e-07 ; 0.000480363
19 ; 1.3811e-07 ; 0.00016872
19 ; 1.71669e-08 ; 4.39875e-05
19 ; 7.94614e-07 ; 0.000698477
20 ; 2.9743e-07 ; 0.000271116
20 ; 6.51492e-07 ; 0.000554395
21 ; 4.26584e-07 ; 0.000614737
21 ; 5.22618e-07 ; 0.000656504
22 ; 9.20981e-07 ; 0.000769569
22 ; 2.79948e-08 ; 5.52178e-05
23 ; 9.49023e-07 ; 0.000785398
24 ; 8.57904e-07 ; 0.000720036
24 ; 9.10258e-08 ; 0.000106476
25 ; 7.25511e-07 ; 0.000617853
25 ; 2.23436e-07 ; 0.000216223
26 ; 1.6754e-08 ; 7.00087e-05
26 ; 9.3229e-07 ; 0.000780333
27 ; 6.78956e-07 ; 0.000577696
27 ; 2.69976e-07 ; 0.000250483
28 ; 2.17067e-07 ; 0.000396217
28 ; 7.76255e-08 ; 9.48826e-05
28 ; 6.54037e-07 ; 0.000662312
29 ; 3.74465e-08 ; 8.28572e-05
