inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
1  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
1  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
1  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
1  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
2  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
2  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
2  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
2  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
3  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
3  ;  0 ; 90 ; 0 ; 6.12323e-17 ; 0 ; 1 ; 0 ; 1 ; 0 ; -1 ; 0 ; 6.12323e-17
